task_id,track,epic,epic_name,title,area,description,expected_outputs,acceptance_criteria,dependencies,complexity,owner,status,created_at
5D87D2CD,Greenfield #4 (Benchmark DSL),G0,TCB & Loader (micro-runtime),Loader — G0-01,Runtime,Build 'loader' for TCB & Loader (micro-runtime) with .lll-as-source-of-truth; generate AOT where possible; no business logic in TCB.,"['loader.rs_or_wasm', 'loader_tests.lll']","['Reproducible builds; deterministic semantics', 'Meets target SLO/throughput for epic', 'Shadow-run parity with interpreter (where applicable)']",,5,LLL-Runtime,Planned,2025-10-04T18:34:41.528413
2C9C95E4,Greenfield #4 (Benchmark DSL),G0,TCB & Loader (micro-runtime),Module-Signature-Verify — G0-02,Runtime,Build 'module-signature-verify' for TCB & Loader (micro-runtime) with .lll-as-source-of-truth; generate AOT where possible; no business logic in TCB.,"['module-signature-verify.rs_or_wasm', 'module-signature-verify_tests.lll']","['Reproducible builds; deterministic semantics', 'Meets target SLO/throughput for epic', 'Shadow-run parity with interpreter (where applicable)']",,5,LLL-Engine,Planned,2025-10-04T18:34:41.528413
C08BC26A,Greenfield #4 (Benchmark DSL),G0,TCB & Loader (micro-runtime),Capabilities-Enforce — G0-03,Runtime,Build 'capabilities-enforce' for TCB & Loader (micro-runtime) with .lll-as-source-of-truth; generate AOT where possible; no business logic in TCB.,"['capabilities-enforce.rs_or_wasm', 'capabilities-enforce_tests.lll']","['Reproducible builds; deterministic semantics', 'Meets target SLO/throughput for epic', 'Shadow-run parity with interpreter (where applicable)']",,4,LLL-Compiler,Planned,2025-10-04T18:34:41.528413
2335833E,Greenfield #4 (Benchmark DSL),G0,TCB & Loader (micro-runtime),Abi-Hostcalls — G0-04,Runtime,Build 'abi-hostcalls' for TCB & Loader (micro-runtime) with .lll-as-source-of-truth; generate AOT where possible; no business logic in TCB.,"['abi-hostcalls.rs_or_wasm', 'abi-hostcalls_tests.lll']","['Reproducible builds; deterministic semantics', 'Meets target SLO/throughput for epic', 'Shadow-run parity with interpreter (where applicable)']",,3,LLL-Policy,Planned,2025-10-04T18:34:41.528413
FA59C9D0,Greenfield #4 (Benchmark DSL),G0,TCB & Loader (micro-runtime),Io-Adapters — G0-05,Runtime,Build 'io-adapters' for TCB & Loader (micro-runtime) with .lll-as-source-of-truth; generate AOT where possible; no business logic in TCB.,"['io-adapters.rs_or_wasm', 'io-adapters_tests.lll']","['Reproducible builds; deterministic semantics', 'Meets target SLO/throughput for epic', 'Shadow-run parity with interpreter (where applicable)']",,5,LLL-Infra,Planned,2025-10-04T18:34:41.528413
FAEB7BC9,Greenfield #4 (Benchmark DSL),G0,TCB & Loader (micro-runtime),Lifecycle-Hooks — G0-06,Runtime,Build 'lifecycle-hooks' for TCB & Loader (micro-runtime) with .lll-as-source-of-truth; generate AOT where possible; no business logic in TCB.,"['lifecycle-hooks.rs_or_wasm', 'lifecycle-hooks_tests.lll']","['Reproducible builds; deterministic semantics', 'Meets target SLO/throughput for epic', 'Shadow-run parity with interpreter (where applicable)']",,3,LLL-Finance,Planned,2025-10-04T18:34:41.528413
98442E83,Greenfield #4 (Benchmark DSL),G0,TCB & Loader (micro-runtime),Panic-Strategy — G0-07,Runtime,Build 'panic-strategy' for TCB & Loader (micro-runtime) with .lll-as-source-of-truth; generate AOT where possible; no business logic in TCB.,"['panic-strategy.rs_or_wasm', 'panic-strategy_tests.lll']","['Reproducible builds; deterministic semantics', 'Meets target SLO/throughput for epic', 'Shadow-run parity with interpreter (where applicable)']",,4,LLL-Fed,Planned,2025-10-04T18:34:41.528413
7C7CB27D,Greenfield #4 (Benchmark DSL),G0,TCB & Loader (micro-runtime),Metrics-Bootstrap — G0-08,Runtime,Build 'metrics-bootstrap' for TCB & Loader (micro-runtime) with .lll-as-source-of-truth; generate AOT where possible; no business logic in TCB.,"['metrics-bootstrap.rs_or_wasm', 'metrics-bootstrap_tests.lll']","['Reproducible builds; deterministic semantics', 'Meets target SLO/throughput for epic', 'Shadow-run parity with interpreter (where applicable)']",,4,LLL-Engine,Planned,2025-10-04T18:34:41.528413
2962122B,Greenfield #4 (Benchmark DSL),G1,".lll Grammar & IR (EBNF, SSA/DFG+FSM)",Ebnf-Spec — G1-01,Compiler,"Build 'ebnf-spec' for .lll Grammar & IR (EBNF, SSA/DFG+FSM) with .lll-as-source-of-truth; generate AOT where possible; no business logic in TCB.","['ebnf-spec.rs_or_wasm', 'ebnf-spec_tests.lll']","['Reproducible builds; deterministic semantics', 'Meets target SLO/throughput for epic', 'Shadow-run parity with interpreter (where applicable)']",,3,LLL-QA,Planned,2025-10-04T18:34:41.528413
CB9C9B3C,Greenfield #4 (Benchmark DSL),G1,".lll Grammar & IR (EBNF, SSA/DFG+FSM)",Parser — G1-02,Compiler,"Build 'parser' for .lll Grammar & IR (EBNF, SSA/DFG+FSM) with .lll-as-source-of-truth; generate AOT where possible; no business logic in TCB.","['parser.rs_or_wasm', 'parser_tests.lll']","['Reproducible builds; deterministic semantics', 'Meets target SLO/throughput for epic', 'Shadow-run parity with interpreter (where applicable)']",,4,LLL-QA,Planned,2025-10-04T18:34:41.528413
